Year,Month,Total_Volume_ML,Total_Capacity_ML,Statewide_Percent_Full
2016,3,4703740,12293370,38.3
2016,4,4324837,12293370,35.2
2016,5,4561509,12293370,37.1
2016,6,5151413,12293370,41.9
2016,7,6739129,12293370,54.8
2016,8,7656531,12293370,62.3
2016,9,8730047,12293370,71
2016,10,9912136,12293370,80.6
2016,11,10319233,12293370,83.9
2016,12,10203408,12293370,83
2017,1,9690791,12293370,78.8
2017,2,9186178,12293370,74.7
2017,3,8544157,12293370,69.5
2017,4,8348092,12293370,67.9
2017,5,8348475,12293370,67.9
2017,6,8308531,12293370,67.6
2017,7,8471422,12293370,68.9
2017,8,9279852,12293370,75.5
2017,9,9667531,12293370,78.6
2017,10,9589039,12293370,78
2017,11,9294832,12293370,75.6
2017,12,9446100,12293370,76.8
2018,1,8821636,12293370,71.8
2018,2,8231092,12293370,67
2018,3,7513356,12293370,61.1
2018,4,7010291,12293370,57
2018,5,7028792,12293370,57.2
2018,6,7236464,12293370,58.9
2018,7,7343972,12293370,59.7
2018,8,8051960,12293370,65.5
2018,9,8123949,12293370,66.1
2018,10,7779694,12293370,63.3
2018,11,7663493,12293370,62.3
2018,12,7053397,12293370,57.4
2019,1,6308001,12293370,51.3
2019,2,5813176,12293370,47.3
2019,3,5214004,12293370,42.4
2019,4,4814759,12293370,39.2
2019,5,4907479,12293370,39.9
2019,6,5174442,12293370,42.1
2019,7,5724107,12293370,46.6
2019,8,6407065,12293370,52.1
2019,9,6540409,12293370,53.2
2019,10,6312476,12293370,51.3
2019,11,6115751,12293370,49.7
2019,12,5586055,12293370,45.4
2020,1,6147254,12293370,50
2020,2,4909603,12293370,39.9
2020,3,4713124,12293370,38.3
2020,4,4811075,12293370,39.1
2020,5,5632329,12293370,45.8
2020,6,6125511,12293370,49.8
2020,7,6539426,12293370,53.2
2020,8,7117521,12293370,57.9
2020,9,7375085,12293370,60
2020,10,8045320,12293370,65.4
2020,11,8021584,12293370,65.3
2020,12,7581933,12293370,61.7
2021,1,7153885,12293370,58.2
2021,2,6935969,12293370,56.4
2021,3,6628827,12293370,53.9
2021,4,6275255,12293370,51
2021,5,6862246,12293370,55.8
2021,6,7565561,12293370,61.5
2021,7,8735402,12293370,71.1
2021,8,9660500,12293370,78.6
2021,9,10414724,12293370,84.7
2021,10,10731335,12293370,87.3
2021,11,10969497,12293370,89.2
2021,12,10715232,12293370,87.2
2022,1,10653824,12293370,86.7
2022,2,10571961,12293370,86
2022,3,10265090,12293370,83.5
2022,4,10147255,12293370,82.5
2022,5,10014354,12293370,81.5
2022,6,10419654,12293370,84.8
2022,7,10549606,12293370,85.8
2022,8,11294119,12293370,91.9
2022,9,11752912,12293370,95.6
2022,10,12018702,12293370,97.8
2022,11,11992416,12293370,97.6
2022,12,12137352,12293370,98.7
2023,1,11915551,12293370,96.9
2023,2,11554813,12293370,94
2023,3,11046538,12293370,89.9
2023,4,10786269,12293370,87.7
2023,5,10806452,12293370,87.9
2023,6,11405386,12293370,92.8
2023,7,11372313,12293370,92.5
2023,8,11586926,12293370,94.3
2023,9,11539569,12293370,93.9
2023,10,11679214,12293370,95
2023,11,11406923,12293370,92.8
2023,12,11340945,12293370,92.3
2024,1,11323831,12293370,92.1
2024,2,10926907,12293370,88.9
2024,3,10211296,12293370,83.1
2024,4,9897765,12293370,80.5
2024,5,9953575,12293370,81
2024,6,10064958,12293370,81.9
2024,7,10352118,12293370,84.2
2024,8,10536290,12293370,85.7
2024,9,10245515,12293370,83.3
2024,10,10021453,12293370,81.5
2024,11,9652341,12293370,78.5
2024,12,9437609,12293370,76.8
2025,1,8750215,12293370,71.2
2025,2,8153294,12293370,66.3
2025,3,7376743,12293370,60
2025,4,7069256,12293370,57.5
2025,5,7322338,12293370,59.6
2025,6,7487419,12293370,60.9
2025,7,7786214,12293370,63.3
2025,8,8075915,12293370,65.7
2025,9,8336065,12293370,67.8
