Year,Month,System,TotalVolume_ML
2012,1,Werribee,58140
2012,2,,0
2012,2,Ballarat,51506
2012,2,Bendigo,115140
2012,2,Broken,37699
2012,2,Campaspe,221077
2012,2,Geelong,73321
2012,2,Glenelg/Wimmera,301770
2012,2,Goulburn,3381419
2012,2,Latrobe,240857
2012,2,Loddon,209633
2012,2,Maribyrnong,17430
2012,2,Melbourne,1164622
2012,2,Murray,3662260
2012,2,Ovens,36389
2012,2,South Gippsland,6789
2012,2,Thomson/Macalister,141690
2012,2,Werribee,54280
2012,3,,0
2012,3,Ballarat,50684
2012,3,Bendigo,113398
2012,3,Broken,40445
2012,3,Campaspe,221129
2012,3,Geelong,70984
2012,3,Glenelg/Wimmera,292300
2012,3,Goulburn,3406403
2012,3,Latrobe,242635
2012,3,Loddon,207321
2012,3,Maribyrnong,17492
2012,3,Melbourne,1174288
2012,3,Murray,3907770
2012,3,Ovens,32514
2012,3,South Gippsland,6532
2012,3,Thomson/Macalister,149987
2012,3,Werribee,52610
2012,4,,0
2012,4,Ballarat,49710
2012,4,Bendigo,111511
2012,4,Broken,39942
2012,4,Campaspe,214650
2012,4,Geelong,68985
2012,4,Glenelg/Wimmera,280372
2012,4,Goulburn,3233650
2012,4,Latrobe,243087
2012,4,Loddon,201360
2012,4,Maribyrnong,17273
2012,4,Melbourne,1168451
2012,4,Murray,4042810
2012,4,Ovens,32163
2012,4,South Gippsland,6496
2012,4,Thomson/Macalister,140119
2012,4,Werribee,50524
2012,5,,0
2012,5,Ballarat,49103
2012,5,Bendigo,109526
2012,5,Broken,39822
2012,5,Campaspe,215198
2012,5,Geelong,69046
2012,5,Glenelg/Wimmera,276867
2012,5,Goulburn,3201741
2012,5,Latrobe,242289
2012,5,Loddon,197925
2012,5,Maribyrnong,17195
2012,5,Melbourne,1179247
2012,5,Murray,4131760
2012,5,Ovens,27336
2012,5,South Gippsland,8373
2012,5,Thomson/Macalister,138751
2012,5,Werribee,49767
2012,6,,0
2012,6,Ballarat,53378
2012,6,Bendigo,111864
2012,6,Broken,40801
2012,6,Campaspe,219734
2012,6,Geelong,80423
2012,6,Glenelg/Wimmera,276760
2012,6,Goulburn,3410846
2012,6,Latrobe,243756
2012,6,Loddon,200959
2012,6,Maribyrnong,18484
2012,6,Melbourne,1271032
2012,6,Murray,4323550
2012,6,Ovens,28522
2012,6,South Gippsland,8373
2012,6,Thomson/Macalister,155183
2012,6,Werribee,61203
2012,7,,36258
