Station ID,Station Name,Year,Month,Rainfall (mm),Latitude,Longitude
076031,MILDURA AIRPORT,2023,8,14.4,-34.23,142.08
076031,MILDURA AIRPORT,2023,9,2.8,-34.23,142.08
076031,MILDURA AIRPORT,2023,10,34.1,-34.23,142.08
076031,MILDURA AIRPORT,2023,11,53.5,-34.23,142.08
076031,MILDURA AIRPORT,2023,12,13,-34.23,142.08
076031,MILDURA AIRPORT,2024,1,35.1,-34.23,142.08
076031,MILDURA AIRPORT,2024,2,3.8,-34.23,142.08
076031,MILDURA AIRPORT,2024,3,7.9,-34.23,142.08
076031,MILDURA AIRPORT,2024,4,14.6,-34.23,142.08
076031,MILDURA AIRPORT,2024,5,19.4,-34.23,142.08
076031,MILDURA AIRPORT,2024,6,14.9,-34.23,142.08
076031,MILDURA AIRPORT,2024,7,18.5,-34.23,142.08
076031,MILDURA AIRPORT,2024,8,11.4,-34.23,142.08
076031,MILDURA AIRPORT,2024,9,9.7,-34.23,142.08
076031,MILDURA AIRPORT,2024,10,31.8,-34.23,142.08
076031,MILDURA AIRPORT,2024,11,81.2,-34.23,142.08
076031,MILDURA AIRPORT,2024,12,18,-34.23,142.08
076031,MILDURA AIRPORT,2025,1,4.8,-34.23,142.08
076031,MILDURA AIRPORT,2025,2,2.1,-34.23,142.08
076031,MILDURA AIRPORT,2025,3,10.9,-34.23,142.08
076031,MILDURA AIRPORT,2025,4,11.7,-34.23,142.08
076031,MILDURA AIRPORT,2025,5,0,-34.23,142.08
076031,MILDURA AIRPORT,2025,6,10.1,-34.23,142.08
076031,MILDURA AIRPORT,2025,7,33.7,-34.23,142.08
076031,MILDURA AIRPORT,2025,8,20.2,-34.23,142.08
076031,MILDURA AIRPORT,2025,9,20.2,-34.23,142.08
076031,MILDURA AIRPORT,2025,10,1,-34.23,142.08
076063,DANYO,2010,1,9,-35.09,141.26
076063,DANYO,2010,2,9.7,-35.09,141.26
076063,DANYO,2010,3,45.8,-35.09,141.26
076063,DANYO,2010,4,25.4,-35.09,141.26
076063,DANYO,2010,5,29.2,-35.09,141.26
076063,DANYO,2010,6,13,-35.09,141.26
076063,DANYO,2010,7,20.3,-35.09,141.26
076063,DANYO,2010,8,45.6,-35.09,141.26
076063,DANYO,2010,9,38.7,-35.09,141.26
076063,DANYO,2010,10,38.5,-35.09,141.26
076063,DANYO,2010,11,37.5,-35.09,141.26
076063,DANYO,2010,12,90.5,-35.09,141.26
076063,DANYO,2011,1,108,-35.09,141.26
076063,DANYO,2011,2,34.5,-35.09,141.26
076063,DANYO,2011,3,45.2,-35.09,141.26
076063,DANYO,2011,4,15.1,-35.09,141.26
076063,DANYO,2011,5,9,-35.09,141.26
076063,DANYO,2011,6,6.5,-35.09,141.26
076063,DANYO,2011,7,9.6,-35.09,141.26
076063,DANYO,2011,8,29.3,-35.09,141.26
076063,DANYO,2011,9,12.1,-35.09,141.26
076063,DANYO,2011,10,30.1,-35.09,141.26
076063,DANYO,2011,11,47.4,-35.09,141.26
076063,DANYO,2011,12,27.5,-35.09,141.26
076063,DANYO,2012,1,15.8,-35.09,141.26
076063,DANYO,2012,2,3,-35.09,141.26
076063,DANYO,2012,3,45.6,-35.09,141.26
076063,DANYO,2012,4,6.4,-35.09,141.26
076063,DANYO,2012,5,4,-35.09,141.26
076063,DANYO,2012,6,18,-35.09,141.26
076063,DANYO,2012,7,35.1,-35.09,141.26
076063,DANYO,2012,8,17,-35.09,141.26
076063,DANYO,2012,9,5.4,-35.09,141.26
076063,DANYO,2012,10,10.9,-35.09,141.26
076063,DANYO,2012,11,3.4,-35.09,141.26
076063,DANYO,2012,12,11,-35.09,141.26
076063,DANYO,2013,1,4.5,-35.09,141.26
076063,DANYO,2013,2,28.2,-35.09,141.26
076063,DANYO,2013,3,0,-35.09,141.26
076063,DANYO,2013,4,15.2,-35.09,141.26
076063,DANYO,2013,5,24.4,-35.09,141.26
076063,DANYO,2013,6,39.1,-35.09,141.26
076063,DANYO,2013,7,38,-35.09,141.26
076063,DANYO,2013,8,18,-35.09,141.26
076063,DANYO,2013,9,19.6,-35.09,141.26
076063,DANYO,2013,10,19.4,-35.09,141.26
076063,DANYO,2013,11,10.2,-35.09,141.26
076063,DANYO,2013,12,6.8,-35.09,141.26
076063,DANYO,2014,1,4.6,-35.09,141.26
076063,DANYO,2014,2,50,-35.09,141.26
076063,DANYO,2014,3,13,-35.09,141.26
076063,DANYO,2014,4,83,-35.09,141.26
076063,DANYO,2014,5,17,-35.09,141.26
076063,DANYO,2014,6,MISSING,-35.09,141.26
076063,DANYO,2014,7,23.1,-35.09,141.26
076063,DANYO,2014,8,6,-35.09,141.26
076063,DANYO,2014,9,15.4,-35.09,141.26
076063,DANYO,2014,10,0.4,-35.09,141.26
076063,DANYO,2014,11,23.3,-35.09,141.26
076063,DANYO,2014,12,25.8,-35.09,141.26
076063,DANYO,2015,1,40.3,-35.09,141.26
076063,DANYO,2015,2,0,-35.09,141.26
076063,DANYO,2015,3,0,-35.09,141.26
076063,DANYO,2015,4,51.9,-35.09,141.26
076063,DANYO,2015,5,14.4,-35.09,141.26
076063,DANYO,2015,6,12.9,-35.09,141.26
076063,DANYO,2015,7,24.4,-35.09,141.26
076063,DANYO,2015,8,16.3,-35.09,141.26
076063,DANYO,2015,9,18.6,-35.09,141.26
076063,DANYO,2015,10,13.4,-35.09,141.26
076063,DANYO,2015,11,24.8,-35.09,141.26
076063,DANYO,2015,12,0,-35.09,141.26
076063,DANYO,2016,1,14.2,-35.09,141.26
076063,DANYO,2016,2,0,-35.09,141.26
076063,DANYO,2016,3,4.4,-35.09,141.26
076063,DANYO,2016,4,0,-35.09,141.26
076063,DANYO,2016,5,47.1,-35.09,141.26
076063,DANYO,2016,6,28.6,-35.09,141.26
076063,DANYO,2016,7,39.2,-35.09,141.26
076063,DANYO,2016,8,37.1,-35.09,141.26
076063,DANYO,2016,9,113.8,-35.09,141.26
076063,DANYO,2016,10,26.9,-35.09,141.26
076063,DANYO,2016,11,26.2,-35.09,141.26
076063,DANYO,2016,12,MISSING,-35.09,141.26
076063,DANYO,2017,1,MISSING,-35.09,141.26
076063,DANYO,2017,2,MISSING,-35.09,141.26
076063,DANYO,2017,3,MISSING,-35.09,141.26
076063,DANYO,2017,4,MISSING,-35.09,141.26
076063,DANYO,2017,5,34.7,-35.09,141.26
076063,DANYO,2017,6,7.1,-35.09,141.26
076063,DANYO,2017,7,21.2,-35.09,141.26
076063,DANYO,2017,8,MISSING,-35.09,141.26
076063,DANYO,2017,9,MISSING,-35.09,141.26
076063,DANYO,2017,10,MISSING,-35.09,141.26
076063,DANYO,2017,11,MISSING,-35.09,141.26
076063,DANYO,2017,12,MISSING,-35.09,141.26
076063,DANYO,2018,1,MISSING,-35.09,141.26
076063,DANYO,2018,2,MISSING,-35.09,141.26
076063,DANYO,2018,3,MISSING,-35.09,141.26
076063,DANYO,2018,4,MISSING,-35.09,141.26
076063,DANYO,2018,5,MISSING,-35.09,141.26
076063,DANYO,2018,6,MISSING,-35.09,141.26
076063,DANYO,2018,7,MISSING,-35.09,141.26
076063,DANYO,2018,8,MISSING,-35.09,141.26
076063,DANYO,2018,9,MISSING,-35.09,141.26
076063,DANYO,2018,10,MISSING,-35.09,141.26
076063,DANYO,2018,11,MISSING,-35.09,141.26
076063,DANYO,2018,12,MISSING,-35.09,141.26
076063,DANYO,2019,1,MISSING,-35.09,141.26
076063,DANYO,2019,2,MISSING,-35.09,141.26
076063,DANYO,2019,3,MISSING,-35.09,141.26
076063,DANYO,2019,4,MISSING,-35.09,141.26
076063,DANYO,2019,5,MISSING,-35.09,141.26
076063,DANYO,2019,6,MISSING,-35.09,141.26
076063,DANYO,2019,7,MISSING,-35.09,141.26
076063,DANYO,2019,8,MISSING,-35.09,141.26
076063,DANYO,2019,9,MISSING,-35.09,141.26
076063,DANYO,2019,10,MISSING,-35.09,141.26
076063,DANYO,2019,11,MISSING,-35.09,141.26
076063,DANYO,2019,12,MISSING,-35.09,141.26
076063,DANYO,2020,1,MISSING,-35.09,141.26
076063,DANYO,2020,2,MISSING,-35.09,141.26
076063,DANYO,2020,3,MISSING,-35.09,141.26
076063,DANYO,2020,4,MISSING,-35.09,141.26
076063,DANYO,2020,5,MISSING,-35.09,141.26
076063,DANYO,2020,6,MISSING,-35.09,141.26
076063,DANYO,2020,7,MISSING,-35.09,141.26
076063,DANYO,2020,8,MISSING,-35.09,141.26
076063,DANYO,2020,9,MISSING,-35.09,141.26
076063,DANYO,2020,10,MISSING,-35.09,141.26
076063,DANYO,2020,11,MISSING,-35.09,141.26
076063,DANYO,2020,12,MISSING,-35.09,141.26
076063,DANYO,2021,1,MISSING,-35.09,141.26
076063,DANYO,2021,2,MISSING,-35.09,141.26
076063,DANYO,2021,3,MISSING,-35.09,141.26
076063,DANYO,2021,4,MISSING,-35.09,141.26
076063,DANYO,2021,5,MISSING,-35.09,141.26
076063,DANYO,2021,6,MISSING,-35.09,141.26
076063,DANYO,2021,7,MISSING,-35.09,141.26
076063,DANYO,2021,8,MISSING,-35.09,141.26
076063,DANYO,2021,9,MISSING,-35.09,141.26
076063,DANYO,2021,10,MISSING,-35.09,141.26
076063,DANYO,2021,11,MISSING,-35.09,141.26
076063,DANYO,2021,12,MISSING,-35.09,141.26
076063,DANYO,2022,1,MISSING,-35.09,141.26
076063,DANYO,2022,2,MISSING,-35.09,141.26
076063,DANYO,2022,3,MISSING,-35.09,141.26
076063,DANYO,2022,4,MISSING,-35.09,141.26
076063,DANYO,2022,5,MISSING,-35.09,141.26
076063,DANYO,2022,6,MISSING,-35.09,141.26
076063,DANYO,2022,7,MISSING,-35.09,141.26
076063,DANYO,2022,8,MISSING,-35.09,141.26
076063,DANYO,2022,9,MISSING,-35.09,141.26
076063,DANYO,2022,10,MISSING,-35.09,141.26
076063,DANYO,2022,11,MISSING,-35.09,141.26
076063,DANYO,2022,12,MISSING,-35.09,141.26
076063,DANYO,2023,1,MISSING,-35.09,141.26
076063,DANYO,2023,2,MISSING,-35.09,141.26
076063,DANYO,2023,3,MISSING,-35.09,141.26
076063,DANYO,2023,4,MISSING,-35.09,141.26
076063,DANYO,2023,5,MISSING,-35.09,141.26
076063,DANYO,2023,6,MISSING,-35.09,141.26
076063,DANYO,2023,7,MISSING,-35.09,141.26
076063,DANYO,2023,8,MISSING,-35.09,141.26
076063,DANYO,2023,9,MISSING,-35.09,141.26
076063,DANYO,2023,10,MISSING,-35.09,141.26
076063,DANYO,2023,11,MISSING,-35.09,141.26
076063,DANYO,2023,12,MISSING,-35.09,141.26
076063,DANYO,2024,1,MISSING,-35.09,141.26
076063,DANYO,2024,2,MISSING,-35.09,141.26
076063,DANYO,2024,3,MISSING,-35.09,141.26
076063,DANYO,2024,4,MISSING,-35.09,141.26
076063,DANYO,2024,5,MISSING,-35.09,141.26
076063,DANYO,2024,6,MISSING,-35.09,141.26
076063,DANYO,2024,7,MISSING,-35.09,141.26
076063,DANYO,2024,8,MISSING,-35.09,141.26
076063,DANYO,2024,9,MISSING,-35.09,141.26
076063,DANYO,2024,10,MISSING,-35.09,141.26
076063,DANYO,2024,11,MISSING,-35.09,141.26
076063,DANYO,2024,12,MISSING,-35.09,141.26
076063,DANYO,2025,1,MISSING,-35.09,141.26
076063,DANYO,2025,2,MISSING,-35.09,141.26
076063,DANYO,2025,3,MISSING,-35.09,141.26
076063,DANYO,2025,4,MISSING,-35.09,141.26
076063,DANYO,2025,5,MISSING,-35.09,141.26
076063,DANYO,2025,6,MISSING,-35.09,141.26
076063,DANYO,2025,7,MISSING,-35.09,141.26
076063,DANYO,2025,8,MISSING,-35.09,141.26
076063,DANYO,2025,9,MISSING,-35.09,141.26
076063,DANYO,2025,10,MISSING,-35.09,141.26
077008,BIRCHIP (WOODLANDS),2010,1,29.6,-35.93,142.85
077008,BIRCHIP (WOODLANDS),2010,2,9.2,-35.93,142.85
